id,cp,latitude,longitude
18700003,18700,4749800,244100
29150003,29150,4820011,-408904
86100001,86100,4679700,53100
13560002,13560,4374032,509750
58320001,58320,4707736,309879
44118003,44118,4709000,-161100
61600002,61600,4857500,-37000
91590009,91590,4850700,237442
44700005,44700,4724000,-159000
94000006,94000,4879000,246400
69100030,69100,4576300,487700
93210003,93210,4891200,235800
69260007,69620,4592200,458000
73140003,73140,4522000,645900
57410001,57410,4904700,728400
90000015,90000,4763600,683800
7430005,07430,4525595.8944463,468816.473454
78318001,78310,4876400,191400
75015025,75015,4885200,229000
26400007,26400,4472954.82446,501713.715307
73600007,73600,4547500,652800
2460003,02460,4918498.6815428,312137.87735999
24800004,24800,4542456.1452651,92805.331392518
61430002,61430,4880600,-50000
7200008,07200,4463202.17749,437986.312289
55320001,55320,4907700,544800
53110001,53110,4844400,-48100
35450001,35450,4822300,-134900
14250002,14250,4917918,-62255
69380009,69380,4589500,473200
8400002,08400,4939868.7170482,471563.4421409
72000019,72000,4802300,18300
60510001,60510,4941900,225500
48170001,48170,4463200,367600
83420005,83420,4319051.9436853,655301.65964116
63450002,63450,4566900,310900
73700005,73700,4562400,678000
44430003,44430,4723700,-135000
62390001,62390,5023100,211400
19316001,19100,4514500,148300
77150002,77420,4885300,258400
20224001,20224,4233399,900872
78350002,78350,4878058.2855606,217315.92564109
54120004,54120,4844200,673700
35200008,35200,4809200,-168000
84170001,84170,4403300,499500
83340005,83340,4339400,633100
23400001,23400,4596000,176000
13700011,13700,4341459,522304
41350003,41350,4758400,137500
31450008,31450,4348300,154800
42700004,42700,4538800,429800
1700004,01700,4582600,499900
21140001,21140,4748187.0025829,435113.63092324
29770003,29770,4802907.6625233,-462560.169386
21350001,21350,4739600,454900
89140004,89140,4828400,321200
55200003,55200,4879000,554900
84000001,84000,4393000,483300
74300004,74300,4608617,652416
94400005,94400,4879300,239000
34410009,34410,4329988.743551,324849.89992495
69270002,69270,4584300,483500
80420004,80420,5001100,209400
20137010,20137,4157844.2439722,927469.32854278
59550002,59550,5011864,370226
79500004,79500,4622500,-14100
28400004,28400,4833100,80500
25300013,25300,4690895.7037732,633878.40348482
80110001,80110,4978656.1311593,246992.37043829
90160002,91160,4870938.6808774,226216.25463069
59710002,59710,5052800,310800
87000029,87000,4582156.0190518,121164.55302687
10700002,10700,4853400,415600
24600003,24600,4523800,34800
