id,cp,ville,adresse,latitude,longitude,enseigne,gazole,e10,sp98,tendance_gazole,tendance_e10,tendance_sp98,tendance_demain_gazole,confiance_demain_gazole,tendance_demain_e10,confiance_demain_e10,tendance_demain_sp98,confiance_demain_sp98
66170002,66170,MILLAS,157 AVENUE JEAN JAURES,42.692,2.691,Agnel & Fils,1.968,,2.108,egal,,egal,stable,1,stable,1,stable,1
80580001,80580,Pont-Remy,RUE JEAN MOULIN,50.0593394,1.8969267,E.Leclerc,1.817,1.839,1.979,baisse,hausse,hausse,stable,1,stable,1,stable,1
88400005,88400,GERARDMER,68 BOULEVARD KELSCH,48.075,6.884,TotalEnergies,1.899,1.881,1.990,hausse,baisse,egal,stable,1,stable,1,stable,1
89690001,89690,CHEROY,ROUTE DES BEDETS,48.2,2.992,Intermarché,1.863,1.879,1.979,egal,egal,egal,stable,1,stable,1,stable,1
13200009,13200,ARLES,ZAC de la Fourchon,43.667512,4.63468,Intermarché,1.855,1.849,1.969,egal,egal,egal,stable,1,stable,1,stable,1
39260003,39260,MOIRANS EN MONTAGNE,AVENUE DE FRANCHE COMTE,46.439,5.722,Intermarché,1.849,1.869,1.979,egal,egal,egal,stable,1,stable,1,stable,1
73600010,73600,MOUTIERS,446 AVENUE DES 16EMES J.O. D HIVER,45.4885153,6.5276747,Casino,1.839,1.869,1.929,egal,egal,egal,stable,1,stable,1,stable,1
67500013,67500,HAGUENAU,2 RUE DU POSTILLON,48.827314,7.792444,Intermarché,1.868,1.878,1.968,egal,egal,egal,stable,1,stable,1,stable,1
8150003,08150,RENWEZ,89 AVENUE DES MARTYRS DE LA RESISTANCE,49.833628,4.603904,TotalEnergies,1.960,,,egal,,,stable,1,stable,1,stable,1
20137007,20137,PORTO-VECCHIO,Station TOTAL - Quartier La Poretta,41.602,9.276,Total,2.010,,,egal,,,stable,1,stable,1,stable,1
13400003,13400,AUBAGNE,1000 Route de Gemenos,43.297,5.586,Total,1.970,1.946,1.990,hausse,baisse,egal,stable,1,stable,1,stable,1
94420001,94420,Le Plessis-Trévise,63 avenue Maurice Berteaux,48.813,2.566,Total,1.985,1.990,1.990,baisse,egal,egal,stable,1,stable,1,stable,1
69550003,69550,Amplepuis,Route de Roanne,45.97868,4.3202,Intermarché,1.849,1.859,1.959,egal,egal,egal,stable,1,stable,1,stable,1
29270003,29270,Carhaix-Plouguer,2 rue Charles Le Goff,48.27519,-3.58155,Intermarché,1.819,1.835,,hausse,egal,,stable,1,stable,1,stable,1
81600001,81600,GAILLAC,Route de Toulouse,43.8941404,1.8829744,E.Leclerc,1.869,1.889,1.979,egal,egal,egal,stable,1,stable,1,stable,1
38470002,38470,VINAY,"251, Rue de l'Europe",45.2077672,5.4119312,Super U,1.879,1.889,1.999,egal,egal,egal,stable,1,stable,1,stable,1
34170001,34170,CASTELNAU-LE-LEZ,753 Route de la Pompignane,43.623,3.898,Système U,1.869,1.881,1.987,hausse,egal,baisse,stable,1,stable,1,stable,1
59119003,59119,WAZIERS,194 Route de Tournai,50.392,3.108,Total Access,1.854,,1.973,hausse,,baisse,stable,1,stable,1,stable,1
12350002,12350,LANUEJOULS,Avenue du rouergue,44.424,2.156,Spar,1.869,1.949,1.999,egal,egal,egal,stable,1,stable,1,stable,1
73420001,73420,Drumettaz-Clarafond,214 Chemin de la Boisière,45.6580103,5.9104808,E.Leclerc,1.837,1.849,1.945,hausse,hausse,egal,stable,1,stable,1,stable,1
83136012,83136,Forcalqueiret,43 avenue de La Liberation,43.339,6.084,Total,1.948,,1.990,hausse,,egal,stable,1,stable,1,stable,1
33520002,33520,Bruges,A630 ROC.PRESQU'ILE LAC COTE2,44.888,-0.579,Esso,1.993,1.981,2.081,egal,egal,egal,stable,1,stable,1,stable,1
71000020,71000,Mâcon,Rue Frédéric Mistral,46.2879227,4.8075174,Intermarché,1.810,1.823,1.935,baisse,baisse,baisse,stable,1,stable,1,stable,1
29610002,29610,PLOUIGNEAU,AVENUE DU MARECHAL LECLERC,48.57,-3.708,Casino,1.860,1.910,,baisse,baisse,,stable,1,stable,1,stable,1
14130010,14130,QUETTEVILLE,AIRE DE QUETTEVILLE A29,49.336906,0.308019,Avia,2.369,2.129,2.229,egal,egal,egal,stable,1,stable,1,stable,1
74210003,74210,FAVERGES,ZA les Boucheroz RN 508,45.7542259,6.2781024,Intermarché,1.859,1.869,,egal,egal,,stable,1,stable,1,stable,1
51240002,51240,Pogny,RN44,48.861,4.485,Intermarché,1.868,1.867,1.978,egal,egal,egal,stable,1,stable,1,stable,1
37380004,37380,MONNAIE,AUTOROUTE A10 - AIRE TOURS VAL DE LOIRE,47.4733368,0.7757909,Total,2.054,1.990,1.990,egal,egal,egal,stable,1,stable,1,stable,1
